label,name,uni
299,Sandwich,465
300,Fox,224
301,Convenience store,132
302,Fish,210
303,Fruit,662
304,Earrings,188
305,Curtain,155
306,Grape,246
307,Sofa bed,514
308,Horse,274
309,Luggage and bags,325
310,Desk,160
311,Crutch,149
312,Bicycle helmet,45
313,Tick,572
314,Airplane,3
315,Canary,89
316,Spatula,517
317,Watch,620
318,Lily,318
319,Kitchen appliance,642
320,Filing cabinet,205
321,Aircraft,669
322,Cake stand,85
323,Candy,91
324,Sink,496
325,Mouse,349
326,Wine,629
327,Wheelchair,624
328,Goldfish,240
329,Refrigerator,443
330,French fries,225
331,Drawer,177
332,Treadmill,597
333,Picnic basket,398
334,Dice,163
335,Cabbage,82
336,Football helmet,221
337,Pig,401
338,Person,392
339,Shorts,490
340,Gondola,244
341,Honeycomb,273
342,Doughnut,173
343,Chest of drawers,112
344,Land vehicle,303
345,Bat,31
346,Monkey,345
347,Dagger,158
348,Tableware,658
349,Human foot,220
350,Mug,352
351,Alarm clock,4
352,Pressure cooker,428
353,Human hand,258
354,Tortoise,585
355,Baseball glove,28
356,Sword,553
357,Pear,387
358,Miniskirt,340
359,Traffic sign,668
360,Girl,235
361,Roller skates,455
362,Dinosaur,166
363,Porch,418
364,Human beard,36
365,Submarine sandwich,538
366,Screwdriver,475
367,Strawberry,532
368,Wine glass,630
369,Seafood,667
370,Racket,653
371,Wheel,623
372,Sea lion,476
373,Toy,588
374,Tea,563
375,Tennis ball,568
376,Waste container,619
377,Mule,353
378,Cricket ball,144
379,Pineapple,404
380,Coconut,120
381,Doll,170
382,Coffee table,123
383,Snowman,509
384,Lavender,306
385,Shrimp,494
386,Maple,331
387,Cowboy hat,141
388,Goggles,239
389,Rugby ball,459
390,Caterpillar,102
391,Poster,420
392,Rocket,453
393,Organ,368
394,Saxophone,468
395,Traffic light,590
396,Cocktail,119
397,Plastic bag,408
398,Squash,657
399,Mushroom,354
400,Hamburger,255
401,Light switch,315
402,Parachute,381
403,Teddy bear,565
404,Winter melon,631
405,Deer,159
406,Musical keyboard,355
407,Plumbing fixture,643
408,Scoreboard,474
409,Baseball bat,27
410,Envelope,194
411,Adhesive tape,1
412,Briefcase,71
413,Paddle,374
414,Bow and arrow,63
415,Telephone,566
416,Sheep,485
417,Jacket,284
418,Boy,67
419,Pizza,406
420,Otter,370
421,Office supplies,673
422,Couch,138
423,Cello,105
424,Bull,77
425,Camel,87
426,Ball,17
427,Duck,181
428,Whale,622
429,Shirt,488
430,Tank,558
431,Motorcycle,347
432,Accordion,0
433,Owl,372
434,Porcupine,419
435,Sun hat,541
436,Nail,356
437,Scissors,472
438,Swan,548
439,Lamp,302
440,Crown,148
441,Piano,396
442,Sculpture,649
443,Cheetah,110
444,Oboe,363
445,Tin can,575
446,Mango,329
447,Tripod,599
448,Oven,371
449,Computer mouse,130
450,Barge,24
451,Coffee,121
452,Snowboard,508
453,Common fig,204
454,Salad,462
455,Marine invertebrates,661
456,Umbrella,607
457,Kangaroo,292
458,Human arm,11
459,Measuring cup,334
460,Snail,505
461,Loveseat,138
462,Suit,539
463,Teapot,564
464,Bottle,62
465,Alpaca,5
466,Kettle,293
467,Trousers,645
468,Popcorn,417
469,Centipede,106
470,Spider,519
471,Sparrow,516
472,Plate,409
473,Bagel,16
474,Personal care,393
475,Apple,10
476,Brassiere,69
477,Bathroom cabinet,32
478,Studio couch,537
479,Computer keyboard,128
480,Table tennis racket,555
481,Sushi,546
482,Cabinetry,83
483,Street light,533
484,Towel,586
485,Nightstand,359
486,Rabbit,435
487,Dolphin,171
488,Dog,168
489,Jug,289
490,Wok,632
491,Fire hydrant,207
492,Human eye,198
493,Skyscraper,501
494,Backpack,15
495,Potato,422
496,Paper towel,380
497,Lifejacket,394
498,Bicycle wheel,46
499,Toilet,579
